Video Link,Primary Tag,Secondary Tag,Rating,Description
qZ4K9y-dMYc,child directed,Toys,-,ad pertains to bunch o balloons' tropical party balloon set
G_g80C3RnAU,irrelevant,Home and Lifestyle,-,"ad pertains to designing collaborative workspaces by the Office Depot, LLC"
1SItmP_lkG0,child directed,Movies,-,ad pertains to The Little Mermaid movie(rated PG)
ctEx2nuoodM,irrelevant,Education & Learning,-,ad pertains to Syracuse University
gkcRpnh9H_I,child directed,Toys,-,ad pertains to Lego SuperMario set
b1YRnnwziyQ,irrelevant,Parenting & Family,-,ad pertains to a company that provides flowers as gifts for mothers
q1Ro7bUgt3o,child directed,Cartoons,-,ad pertains to a clip from Star Wars: Young Jedi Adventures
Hb6ZMPgpwLo,irrelevant,Software,-,ad pertains to Grammarly's Grammarly GO for AI assistance for writing more professional messages
gkE2ip0XTm8,irrelevant,Software,-,"ad pertains to Pendo, a software tool for combining analytics for software"
yp78rtcpZ_8,irrelevant,Travel & Adventure,-,"ad pertains to tourism with Hurtigruten, The Norwegian Coastal Express"
_Mzu71ZUwMc,irrelevant,Sports & Athletics,-,ad pertains to PXG's golf clubs
dvDqEI7qO34,irrelevant,Gaming & Entertainment,-,ad pertains to VEX Robotics Competition
GVm3otn7BPM,child directed,Play and Adventure,-,ad pertains to The Disneyland Resort
1tgueMvTR2c,child directed,Cartoons,-,ad pertains to Jurassic World Cartoon for kids
bzDD8ItXmXY,irrelevant,Software,-,ad pertains to Hotjar which shows how people interact with a website
MlHup00Ycm0,irrelevant,Travel & Adventure,-,ad pertains to Luxury Apartment Rentals in Playa Vista
ut9vFGg9S-E,irrelevant,Home and Lifestyle,-,ad pertains to Ashley's mattresses
2Lo6DbYZ7Tc,irrelevant,Software,-,ad pertains to Youtube Music
S3GnywrceVc,irrelevant,Parenting & Family,-,ad pertains to Parenting essentials (like diapers) for babies; ad aimed at parents
taMUZtGNCS4,irrelevant,Home and Lifestyle,-,ad pertains to Whirlpool's 2 in 1 washer
A1yf4Bs1m9g,irrelevant,Tech & Gadgets,-,ad pertaiins to Samsung Galaxy S23 offers by Verizon
2w-PjP33MKE,irrelevant,Education & Learning,-,ad pertains to the history behind a Railway Station in Taiwan
51_YxpvdBC4,irrelevant,Autos & Vehicles,-,"ad pertains to Hyundai's car, Santa Fe"
ag5ar76ya3o,irrelevant,Business & Entrepreneurship,-,ad pertains to Walmart
vKYEA7ZqC8c,irrelevant,Software,-,ad pertains to Youtube Music
vl5uNAcxmfA,irrelevant,Home and Lifestyle,-,ad pertains to furniture/ tables for schools
F1opwvyo6f8,child directed,Cartoons,-,ad pertains to Nickelodeon
Mi1uEmRgJZU,child directed,Cartoons,-,ad pertains to a clip from Star Wars: Young Jedi Adventures 
hMEMfguTMp8,irrelevant,Autos & Vehicles,-,ad pertains to Kia EV9 automobile
qYgly9fnr1Q,irrelevant,Home and Lifestyle,-,ad pertains to a home tour showcasing Southern Grace Home Interiors
7Ev2Ufaey4M,child directed,Storytelling,-,ad pertains to an episode of Disney's Making Wonder the Series
ZT2UXcxTjLk,irrelevant,Software,-,"ad pertains to Shopee Vietnam, an ecommerce app"
kEMXZu2scKE,irrelevant,Software,-,ad pertains to Grammarly's Grammarly GO for AI assistance for writing more professional messages
p6wZ_l9Njv0,irrelevant,Software,-,ad pertains to Google Chrome
ArQUJDTfFyA,child directed,Toys,- ,ad pertains to Hasbro's Play-Doh: Magical Mixer toy for kids 
YkVSw2RFGmY,child directed,Cartoons,-,ad pertains to a toy-esque 3d representation of the Peppa Pig Cartoon
DeCchwQNyJY,irrelevant,Software,-,"ad pertains to Insight Global, an app that makes hiring easy"
nuBvg633NBE,irrelevant,Software,-,ad pertains to a website that helps finds the best prices for people selling jewellery
J4nE2mxMd30,irrelevant,Software,-,ad pertains to Verizon's cellphone plans
GVPzGBvPrzw,inappropriate,Scariness,mild,ad pertains to the movie Gran Turismo; shows racecars crashing and burning with the driver struggling to get away
9WZgszq1hao,irrelevant,Software,-,ad pertains to Shopify for ecommerce
4n0oTeVXOyk,irrelevant,Fashion,-,ad pertains to Chico's athletic styled dresses for women
uaR3pQzQKZ0,irrelevant,Fashion,-,ad pertains to Men's Wearhouse's formal wear for men
S1JWPjoGR8Q,irrelevant,Software,-,ad pertains to a search engine that plants trees (ecosia)
uCskXmWmNok,child directed,Cartoons,-,ad pertains to a clip from Star Wars: Young Jedi Adventures
UQuNjXackeA,child directed,Toys,-,ad pertains to Hasbro's Lightsaber toy
GhhF8B48luE,irrelevant,Home and Lifestyle,-,ad pertains to Mattress Firm's mattresses 
2Z5IAdHvicc,irrelevant,Fashion,-,ad pertains to Sperry's boat shoes
S3dSaiPgcN0,irrelevant,Business & Entrepreneurship,-,ad pertains to Dose's moving services
0Z6wYLkazRo,irrelevant,Personal Development,-,ad pertains to a vlog by a mom whose sharing her productive stay at home routine 
oavcsKN_VgM,child directed,Cartoons,-,ad pertains to an episode from the cartoon Thomas & Friends
BEFjnwlJs5w,inappropriate,Unsuitable video games,mild,"ad pertains to  a video game for kids called ''Whos your daddy""; shows a baby making a flamethrower and using it around the house"
Ekvlnd4Xnq8,child directed,Toys,-,ad pertains to the Lego City toy set for kids
T5_WTs4y3uY,irrelevant,Software,-,ad pertains to Youtube Music
nIgYkKJA9Mo,irrelevant,Home and Lifestyle,-,ad pertainst to outdoor tiles for homes by James Hardie
sWr9dGZ6Jtg,child directed,Play and Adventure,-,ad pertains to SeaWorld resort; comes across as marketted for kids
aVrkN-Ut4iA,irrelevant,Autos & Vehicles,-,"ad pertains to Hyundai's car, Santa Fe"
6HPS3nHTiQs,irrelevant,Software,-,ad pertains to an organization helping tool  by ADP
TXtxUiddIT4,child directed,Play and Adventure,-,ad pertains to Walt Disney World
QFAiHCusGkU,irrelevant,Software,-,ad pertains to a website (Element Fleet Management) for reducing fleet TCO
LaQSSiDE2uo,irrelevant,Software,-,ad pertains to Adobe Document Cloud
OKXBnR3N4Hc,irrelevant,Tech & Gadgets,-,ad pertains to iPhone 14 offered by Verizon
DNo3WWBMZ2M,irrelevant,Personal Care & Beauty,-,ad pertains to Dyson's haircare straighteners
vRmw1Pw-KRU,irrelevant,Software,-,ad pertains to Wix
c7EeGsq9Z7A,irrelevant,Autos & Vehicles,-,ad pertains to Volvo's cars
kvrpVi0yd8o,irrelevant,Software,-,ad pertains to Autotrader for buying and selling cars online
7lgCLCJrP60,irrelevant,Software,-,ad pertains to software based business tool by ADP
1NxEhKysbSg,irrelevant,Home and Lifestyle,-,ad pertains to pillows with customized pillow height
e6onnYpqo1o,irrelevant,Software,-,ad pertains to SlickText for SMS marketing campaign
XdA8PKZujIk,irrelevant,Autos & Vehicles,-,"ad pertains to Hyundai's car, Elantra"
7dPiqnSqlT8,inappropriate,Crude Humor,-,ad pertains to a videogame titled: How not to suck at money; the title contains crude language unsuitable for children
Zmootr2iLYA,irrelevant,Finance & Legal,-,ad pertains to tax reports by Avalara
nR3ok_P2gzI,child directed,Educational Content,-,ad pertains to AdaptedMind's cartoon teaching maths
-I7qszaq0EQ,irrelevant,Software,-,ad pertains to Youtube Music
jFEKgMyFCP0,irrelevant,Software,-,ad pertains to Grammarly
GpWuWF-x2js,inappropriate,Sexual content,mild,"ad pertains to the movie:ARE YOU THERE GOD? IT’S ME, MARGARET (2023); rated PG13; contains some sexual themes"
https://www.youtube.com/watch?v=1_FURuXWcMg,irrelevant,Toys,-,ad pertains to a nerf gun; doesnt seem particularly child directed
https://www.youtube.com/watch?v=l32QivrokIs,irrelevant,Autos & Vehicles,-,ad pertains to Honda's CR-V; shows the car moving on road and offroad
https://www.youtube.com/watch?v=jz6LIo-6uEQ,irrelevant,Autos & Vehicles,-,ad pertains to Audi's Etron family of cars
https://www.youtube.com/watch?v=OmmNhuT2n8Q,child directed,Toys,-,ad pertains to Rainbow High's collection of dolls; shows dancing dolls and little girls playing them
https://www.youtube.com/watch?v=2_yZriRs6fg,child directed,Play and Adventure,-,ad pertains to Knott's Berry Farm (a theme park for kids and families)
https://www.youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Machinery,-,ad pertains to Lowe's Pro lineup of home power tools and applianes (including washing machines and chainsaws)
https://www.youtube.com/watch?v=WfTGeSPRU6Q,child directed,Movies,-,ad pertains to the animated movie: The Super Mario Bros. Movie. It is PG rated
https://www.youtube.com/watch?v=_T6D2JOszBs,irrelevant,Autos & Vehicles,-,ad pertains to Acura's Type S; shows stills of the car along with it moving offroad
https://www.youtube.com/watch?v=Dl2sBmpw0Fs,child directed,Play and Adventure,-,ad pertains to Universal Studio's theme park for kids and families
https://www.youtube.com/watch?v=LY2dO81sJWg,irrelevant,Fashion,-,ad pertains to DSW's designer shoes for women
https://www.youtube.com/watch?v=5t_XFUloS0M,irrelevant,Finance & Legal,-,ad pertains to Morgan and Morgan's injury law firm; does mention statistics on car crashes at the start that may be unsuitable for kids
https://www.youtube.com/watch?v=N2VaBxkJfSw,irrelevant,Tech & Gadgets,-,ad pertains to DirectTV's coverage of MLB
https://www.youtube.com/watch?v=NQTlmeBEpiQ,irrelevant,Home and Lifestyle,-,ad pertains to Safe Step's walk in tub; aimed at the elderly
https://www.youtube.com/watch?v=eW_s6qSgtMg,irrelevant,Tech & Gadgets,-,ad pertains to Samsung's S23 Ultra smartphone and their Book3 ecosystem
https://www.youtube.com/watch?v=aoaizqRsptc,irrelevant,Fashion,-,ad pertains to DSW's designer shoes for women
https://www.youtube.com/watch?v=8_PB9gQVkWs,child directed,Storytelling,-,ad pertains to a story about little girls' dance dilemma; ad is animated
https://www.youtube.com/watch?v=qAVeB0Z8rvM,irrelevant,Music & Performance,-,ad pertains to a concert starring Godsmack and Staind; aimed at adults
https://www.youtube.com/watch?v=WlARRkI4ZMc,irrelevant,Fashion,-,ad pertains to DSW's designer shoes for women (spring collection)
https://www.youtube.com/watch?v=wMKvGAHJ-t4,irrelevant,Software,-,ad pertains to a 'we'll be back after this ad' transition
https://www.youtube.com/watch?v=RxYzwSTlWqs,irrelevant,Sports & Athletics,-,ad pertains to KAV's custom 3d printed helmets for cyclists
https://www.youtube.com/watch?v=Hxy0AEktdaQ,irrelevant,Software,-,ad pertains to an outro transition
https://www.youtube.com/watch?v=C2Z1TCHI1do,irrelevant,Home and Lifestyle,-,ad pertains to Sit 'n Sleep's mattresses; aimed at adults
https://www.youtube.com/watch?v=faiqd9Crpmg,irrelevant,Software,-,ad pertains to airbnb's app for tourism; aimed at adults
https://www.youtube.com/watch?v=hrM_LP1wYuw,irrelevant,Software,-,ad pertains to a website that matches people to credit unions
https://www.youtube.com/watch?v=WG5bVsbROz4,irrelevant,Software,-,ad pertains to Adobe's Acrobat suite
https://www.youtube.com/watch?v=vJobSVitRbo,child directed,Cooking and Food,-,ad pertains to Elkay's filters for clean drinking water; features kids
https://www.youtube.com/watch?v=pE2RYY-rVE0,irrelevant,Education & Learning,-,ad pertains to West Coast University's online nursing education
https://www.youtube.com/watch?v=wHlwsE8znXA,irrelevant,Software,-,ad pertains to Canva Whiteboards for brainstorming ideas
https://www.youtube.com/watch?v=9OU6ErcAxRE,irrelevant,Software,-,ad pertains to the online Wish Shopping platform; contains animation 
https://www.youtube.com/watch?v=Edrk0utzzLw,irrelevant,Fashion,-,ad pertains to DSW's designer shoes for women
https://www.youtube.com/watch?v=n-HVLwVTbgY,irrelevant,Machinery,-,ad pertains to Meviys's price quotations for CNC machined and fabricated sheet metal components
https://www.youtube.com/watch?v=YkcGoztVZiI,irrelevant,Autos & Vehicles,-,ad pertains to Nissan's Ariya; shows an animation of a woman driving a car with peaceful music in the backgroud; ad duration is 4 hour +
https://www.youtube.com/watch?v=JyV1xagjdJc,child directed,Toys,-,ad pertains to a LEGO based racing game
https://www.youtube.com/watch?v=ieUPM6k8kdQ,irrelevant,Software,-,ad pertains to writing professional emails using Grammarly
https://www.youtube.com/watch?v=m2wcIwntneU,irrelevant,Machinery,-,ad pertains to RMT's machine tools
https://www.youtube.com/watch?v=67NS-x1hodw,child directed,Movies,-,ad pertains to the animated movie: The Super Mario Bros. Movie. It is PG rated
https://www.youtube.com/watch?v=TiW4Pg2uakk,irrelevant,Software,-,"ad pertains to CarGuru's, a website for car listing for new and used cars"
https://www.youtube.com/watch?v=hXzcyx9V0xw,child directed,Movies,-,ad pertains to the animated movie: Elemental (2023)
https://www.youtube.com/watch?v=7uQFFSIWLQE,irrelevant,Software,-,ad pertains to Adobe Express; shows a teenager distributing flyers that he made on Adobe Express
https://www.youtube.com/watch?v=AjrGVby9zG0,irrelevant,Fashion,-,ad pertains to DSW's designer shoes for women
https://www.youtube.com/watch?v=LdGklmFjei4,irrelevant,Home and Lifestyle,-,ad pertains to Lowe's Home Improvement
https://www.youtube.com/watch?v=J2ErJp5HZKU,irrelevant,Software,-,ad pertains to Hotjar which shows how people interact with a website
https://www.youtube.com/watch?v=G7U7vt9bGy8,irrelevant,Software,-,ad pertains to professional writing using grammarly
https://www.youtube.com/watch?v=WeWt59ViaSE,irrelevant,Home and Lifestyle,-,ad pertains to Sleep Number's smart bed
https://www.youtube.com/watch?v=bskwt9oGzRU,inaudible,Different Language,-,"ad pertains to Ceasar, Napoli and Spivak which seems like a TV show/ talk show"
https://www.youtube.com/watch?v=PU15DpAwgj8,child directed,Cartoons,-,ad pertains to a math game for kids
https://www.youtube.com/watch?v=ajsa7dG2ZvQ,irrelevant,Tech & Gadgets,-,ad pertains to PROSCAN's document management solution
https://www.youtube.com/watch?v=bTo9t443O18,child directed,Cartoons,-,ad pertains to Peppa Pig's Official Channel
https://www.youtube.com/watch?v=_UFkghfhSa4,irrelevant,Machinery,-,ad pertains to Instrument Direct's flow meters
https://www.youtube.com/watch?v=8EkkhTgsun4,child directed,Cartoons,-,ad pertains to a video from Peppa Pig's Official Channel
