Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=Kp44T_rGZ98,irrelevant,Home and Lifestyle,-,"ad pertains to a paint company, Asian Paints Causeway; showcases its online color picker in which a child wants to pick a color for her room "
https://www.youtube.com/watch?v=x7ZA5_lD8mI,child directed,Non-violent video games,-,ad pertains to a mobile game called Hill Climb Racing; showcases gameplay; however Common Sense media rates the game at 11+ while parents rate it as 9+; thus this can also come under Teen Directed
https://www.youtube.com/watch?v=9KzmHSOlvng,irrelevant,Education & Learning,-,ad pertains to Slit University
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=T5PSSGXascc,irrelevant,Home and Lifestyle,-,"ad pertains to a company called ""sacher portagioie"" which seem to be producing makeup or ring cases"
https://www.youtube.com/watch?v=wMKvGAHJ-t4,irrelevant,Software,-,ad pertains to a 'we'll be back after this ad' transition
https://www.youtube.com/watch?v=Hxy0AEktdaQ,irrelevant,Software,-,ad pertains to an outro transition
https://www.youtube.com/watch?v=q-NVK13mzcA,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; target audience is probably adults; constains a prevalent romantic theme; some scenes depict intimacy
https://www.youtube.com/watch?v=9CvLVLrzro8,irrelevant,Software,-,ad pertains to Dulux Paints's app
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=QScWs4jsMW0,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; frames contain intimacy and suggestive content
https://www.youtube.com/watch?v=3QZ_BkJDBb8,inappropriate,Death,mild,"ad pertains to a Punjabi song which pages homage to the late singer, Sidhu Moose Wala; some frames contain a dead body"
https://www.youtube.com/watch?v=lgh45wEHyP4,irrelevant,Education & Learning,-,ad pertains to Monash University
https://www.youtube.com/watch?v=VYQPuKvmTHM,inappropriate,Intimacy,moderate,ad pertains to a music video; shot on the beach; romatic theme prevalent
https://www.youtube.com/watch?v=A4hniRECcME,inappropriate,Death,moderate,ad pertains to a Punjabi song about a teen mourning the loss of a loved one
https://www.youtube.com/watch?v=SaOd0DC-tD8,inappropriate,"Drinking, drugs, smoking",moderate,ad pertains to a music video; shows a man smoking at the start
https://www.youtube.com/watch?v=qmInuV9B1d4,irrelevant,Software,-,"ad pertains to Handy Master app, which allows people easy access to services like plumbing"
https://www.youtube.com/watch?v=SNUCYMMDqqI,inappropriate,Intimacy,mild,ad pertains to a music video; contains a romantic premise
https://www.youtube.com/watch?v=Y3Ymm8j15K4,irrelevant,Education & Learning,-,"ad pertains to an educational institute, AIC Campus"
https://www.youtube.com/watch?v=GChWEIEWdp4,irrelevant,Machinery,-,ad pertains to Epilog's Fusion Maker Laser for lazer engraving
https://www.youtube.com/watch?v=rN5YCNZ9K0M,irrelevant,Software,-,ad pertains to a digital support assistant from Dialog Axiata
https://www.youtube.com/watch?v=BFK-4Saok6o,inappropriate,"Drinking, drugs, smoking",moderate,ad pertains to a music video about breakups and finding love; shows a woman drinking in the start
https://www.youtube.com/watch?v=YVUwLB2_7Fc,irrelevant,Tech & Gadgets,-,"ad pertains to SLT Mobitel's mobile internet services, particularly their 4g SIM home delivery"
https://www.youtube.com/watch?v=DoOweIO2Czc,inappropriate,"Drinking, drugs, smoking",moderate,"ad pertains to a music video; contains inappropriate dancing, and suggestiveness of drinking, shows a man smoking a Hookah"
https://www.youtube.com/watch?v=kFn7BtiLaQE,irrelevant,Tech & Gadgets,-,ad pertains to SLT Mobitel's mobile internet packages
https://www.youtube.com/watch?v=MgIsckApoHs,irrelevant,Music & Performance,-,ad pertains to a Punjabi song about falling in love and meeting families
https://www.youtube.com/watch?v=Oc9vA7cjAA8,irrelevant,Finance & Legal,-,ad pertains to JS Bank and their credit cards
https://www.youtube.com/watch?v=vtMyHw9OpTE,irrelevant,Poems/Songs/Nursery Rhymes/Music,-,ad pertains to Kalaam(poetry) by Waqar Faiz; shows a man traversing nature; spiritual and religious theme prevalent
https://www.youtube.com/watch?v=ei1H0pX9iZg,irrelevant,Music & Performance,-,ad pertains to a song by 'The Tesky Brothers'
https://www.youtube.com/watch?v=H04TCxLTgvI,irrelevant,Home and Lifestyle,-,ad pertains to Lemon Max's dishwashing liquid
https://www.youtube.com/watch?v=Lrgk65yn3d8,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; romantic theme prevalent
https://www.youtube.com/watch?v=YDJcbH_HgjY,irrelevant,Music & Performance,-,ad pertains to a song by an all girl teen band called Baby Monster
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,-,"ad pertains to Sparx's smartphones, features a model showcasing them"
https://www.youtube.com/watch?v=oMupLmuPuj8,inappropriate,Intimacy,mild,ad pertains to a music video about highschoolers falling in love; romantic theme prevalent
https://www.youtube.com/watch?v=y7sMr3EXLwY,irrelevant,Software,-,ad pertains to Grammarly's grammar correction
https://www.youtube.com/watch?v=S1t90ucM-54,irrelevant,Personal Development,-,ad pertains to a Ted Talk about the benefits of writing by hand
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Sexual content,extreme,ad pertains to a music video in Bhojpuri; a few frames show intimacy and sexual suggestiveness; shows inappropriate physical contact
https://www.youtube.com/watch?v=kQ01TEjln7U,irrelevant,Fashion,-,ad pertains to Cambridge's Eid Collection (of Shalwar Kameez)
https://www.youtube.com/watch?v=tYKduNKGmUI,inappropriate,Intimacy,mild,ad pertains to a Pubjabi music video; inherent romantic theme
https://www.youtube.com/watch?v=EwcalNeQp6s,excluded,,-,ad pertains to a song by Arziyan Records about Jesus
https://www.youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,-,ad pertains to GoDaddy and securing websites
https://www.youtube.com/watch?v=DoaYEnxbOeE,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a music video in english; a few frames show a man smoking
https://www.youtube.com/watch?v=L93BUjHLgCk,irrelevant,Music & Performance,-,ad pertains to a Sufi Kalam music video by Mehran Shah
https://www.youtube.com/watch?v=Rr2i3L5LgeQ,irrelevant,Music & Performance,-,ad pertains to a Kpop Music music
