Video Link,Primary Tag,Secondary Tag,Rating,Description
Ix-mCljuPgI,irrelevant,Music & Performance,-,ad pertains to a music video in spanish;  the lyrics do not seem inappropriate upon viewing the auto translation
gbrqzWNvriw,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; contains inherent romatic dynamic
5JysgNEAe44,inappropriate,Intimacy,moderate,ad pertains to a Spanish music video; contains inherent romantic dynamic; some suggestive/sensual dancing is also present
CV4fQ_BPraE,inappropriate,Physical Violence,mild,ad pertains to a Bollywood song; shows two people being electrocuted in jail
Ixo7QTX2Xgk,irrelevant,Personal Care & Beauty,-,ad pertains to a toothpaste (Colgate)
Eq1wBOY25ak,irrelevant,Education & Learning,-,ad pertains to a summer internship for engineering students
4uEZzOMBbus,inappropriate,Offensive language,moderate,ad pertains to a rap song; contains offensive laguage unsuitable for kids
0KRF7JPsQSo,irrelevant,Machinery,-,ad pertains to an industrial machine by Quick CNC
2S1SIRHDsz8,irrelevant,Software,-,ad pertains to an app for connecting with cargo transporters
m7RrQTP51aQ,irrelevant,Software,-,ad pertains to a crypto mining video by a youtuber
SqV6nXx22Rk,irrelevant,Sports & Athletics,-,ad pertains to skateboarding and boxing with a sandbag; includes a drummer; unable to pinpoint what the ad is about
07JGCc2n9iQ,inaudible,Different Language,-,ad pertains to a Spanish music video; no subtitiles so unable to understand lyrics
tTGWp4jvx48,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a song in Portugese; song is about a romantic story; shot in a bar and hence alcohol is visible
KjK06CxurgA,inappropriate,Death,moderate,ad pertains to a movie trailer; shows dead; a guy almost being run over; shows dead bodies as well
R_2dY1reH-Y,inappropriate,Sexual content,moderate,ad pertains to a rap song in Spanish; translated lyrics are sexual in nature
aAGZzkyAQaY,irrelevant,Machinery,-,ad pertains to industrial machinery by Quick CNC
KXv3swGWvSY,inappropriate,Intimacy,mild,ad pertains to a Spanish song;  translated lyrics show an inherent romantic dynamic in the song; talks of kissing
fysVod7eanc,inappropriate,Intimacy,mild,ad pertains to a music video; contains an inherent romantic dynamic; some scene show intimacy
TZNRLDrwtI8,inappropriate,Intimacy,mild,ad pertains to a music video; contains an inherent romantic dynamic; some scene show intimacy
zWZEgEjNjx8,irrelevant,Education & Learning,-,ad pertains to malware on PC; video by dell support on different types of malware; educational in nature
QDCjl8AebT4,irrelevant,Fashion,-,ad pertains to wallets
99nUfBVgA6E,irrelevant,Sports & Athletics,-,ad pertains to skateboarding and boxing with a sandbag; includes a drummer; unable to pinpoint what the ad is about
0Ahim5aJmp8,irrelevant,Music & Performance,-,ad pertains to a KPOP music video
7KkPDl0a6V8,irrelevant,Machinery,-,ad pertains to a lubricant for fishing rods
V2vcFHLUAX8,irrelevant,Finance & Legal,-,ad pertains to retargeting strategies to increase conversation; podcast on zoom about finance and real-estate
RQ5wXpePzGE,inappropriate,Intimacy,moderate,ad pertains to a music video; inherent romantic dynamic; some scenes show intimacy; shows a man being run over on the road
xFU0M2cl8FM,irrelevant,Personal Development,-,ad pertains to opening one's mindset
idBh9yDZd2o,inappropriate,Intimacy,mid,ad pertians to a music video; contains inherent romantic dynamic; some scenes show intimacy
Ou6aoi8oylQ,inappropriate,Intimacy,mild,ad pertains to a music video;  contains inherent romantic dynamic; some static frames depict intimcay
fUMyW153aUc,inaudible,Different Language,-,ad pertains to a music video; in another language without subtitiles
mHGbPJ2tY90,irrelevant,Machinery,-,ad pertains to a filters for indutrial machinery
fnMwCP9Wljo,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic dynamic; shows intimidation with a pistol; some scenes show intimacy
FtbiSbl_5KE,irrelevant,Software,-,ad pertains to a software called Opera GX
Skc5cIf1-OE,irrelevant,Education & Learning,-,ad pertains to a conference for young people
_AyNlth2XIU,irrelevant,Software,-, ad pertains to an ecommerce website selling gaming equipment and PCs
C5M7YUxHZZc,inappropriate,Intimacy,mild,ad pertains to a song in hindi; song has an inherent romantic theme
ynOtYmpZxak,irrelevant,Music & Performance,-,"ad pertains to a song by an all girl band, Baby monster"
eCXqMHPlaoE,inappropriate,"Drinking, drugs, smoking",moderate,ad pertains to a music video; shows alcohol being poured;  sexual suggestiveness present;
ci_U3H-mL0M,irrelevant,Music & Performance,-,ad pertains to a Spanish music video about nature
U3PTLHaeZSM,inappropriate,Intimacy,mild,ad pertains to a Pubjabi song; song has an inherent romantic context
Ux9HOt0twoY,irrelevant,Science & Technology,-,ad pertains to an online podcast about open vs closed AI
v8UkcODWhAU,irrelevant,Music & Performance,-,ad pertains to a music video;  shows a hardworking man being thankful to God
mLVEM5rdS-c,irrelevant,Fashion,-,ad pertains to a company selling shoes
tRUtoAw_e8Y,irrelevant,Music & Performance,-,ad pertains to a song in Hindi; song is about friendship
DzUgCln0WWY,irrelevant,Nature & Environment,-,ad pertains to a video showing nature and wildlife at yellowstone
vOoJVWITR-E,irrelevant,Home and Lifestyle,-,ad pertains to  a mattress company
X_LKGwM0He8,inappropriate,Intimacy,mild,ad pertains to a Hindi song; inherent romantic dynamic; background image contains intimacy
5KJMNlLgBWc,irrelevant,Tech & Gadgets,-,ad pertains to OLED TVs by LG
6zP_KnLDHGY,inappropriate,Sexual content,moderate,ad pertians to a Punjabi music video; shows a gang iwith baseball bats for intimidation; dancing contains sexual suggestiveness
NvYDEN1m_AQ,child directed,Cartoons,-,"ad pertaisn to a cartoon ''Bimi Boo- Kids Songs for Learning"""
kmdwzPH9T_I,inappropriate,Offensive language,mild,ad pertains to a rap song; contains inappropriate language for kids
0I5z4YcjBTU,irrelevant,Software,-,ad pertains to a software that allows for overlaying your video with animation
yGhg56aq1nI,irrelevant,Finance & Legal,-,ad pertains to a discussion on tech stocks to watch out for in 2023
8wYSPQp8jNQ,child directed,Cartoons,-,ad pertains to adaptedMind's reading game for kids
nxsgvdqhMJk,irrelevant,Home and Lifestyle,-,ad pertains to a lifestyle membership for those 50 and above
TxLrHB0Ogas,irrelevant,Gaming & Entertainment,-,ad pertains to  a podcast by youtubers
brGcBfpqLSs,inappropriate,Death,mild,ad pertains to a Telgu music video;  shows a corspe at the start
Vdr4_LDtCss,inappropriate,Display of weapons,moderate,ad pertains to a music video in another language (without subtitles); shows guns and drugs
FnfyZyXdjFY,irrelevant,Business & Entrepreneurship,-,ad pertains to a talk about the success of Victoria Gold's Eagle Mine 
MiNZLkGhEOE,inappropriate,Interpersonal Violence,moderate,ad pertains to a music video; contains inherent romantic dynamic;  contains harassment; display of weapons;
PfB8vsFm2Qk,inappropriate,"Drinking, drugs, smoking",moderate,ad pertains to a music video;  shows drinking;  sexual undertones present
Ez7AZWa_hfw,inappropriate,Intimacy,mild,ad pertains to a spanish music video; inherent romantic dynamic; some scariness is also present
1syUmlPYvdA,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a Spanish song; some lyrics glorify alcohol
lVEiZUq5dow,inaudible,Different Language,-,ad pertains to a song in a different language; unable to interpret lyrics
AtDwRIp91tc,irrelevant,Business & Entrepreneurship,-,ad pertains to a conference for small businesses
0-671kdnP5c,irrelevant,Tech & Gadgets,-,ad pertains to Huawei's Honor x8A Smartphone
NRk2CH0gIeI,irrelevant,Tech & Gadgets,-,ad pertains to SES satellite network connectivity
cAMHx-m9oh8,inappropriate,Intimacy,mild,ad pertains to a Hindi music video; contains inherent romantic dynamic; a few scenes contain intimacy
Q4A13weeYNc,excluded,,-,video removed
6S4fZ7atjp0,inappropriate,Intimacy,mild,ad pertains to a  Spanish song; lyrics contain inherenr romantic dynamic
UNk8YilXVQc,irrelevant,Tech & Gadgets,-,ad pertains to an unboxing of Huawei's Honor x8A
fOdo1GkzZAk,child directed,Educational Content,-,ad pertains to AdaptedMind's math game cartoon for kids
EfFuL8XEn-Y,irrelevant,Sports & Athletics,-,ad pertains to skateboarding and boxing with a sandbag; includes a drummer; unable to pinpoint what the ad is about
0p0Ip9K09B4,inappropriate,"Drinking, drugs, smoking",mild,ad pertains ot a Punjabi music video; a scene shows a drunk girl with a bottle of alcohol;
fZfOEBQsJpc,inappropriate,Fight sports,mild,ad pertains to a short film; shows fighting/training with wooden swords; shows a butcher cutting up fish which might be distressing for kids
DeiFjs7gFyY,inappropriate,"Drinking, drugs, smoking",moderate,ad pertains to a movie trailer; shows a man smoking; contains physical violence as well
rBy7zFDDspM,irrelevant,Autos & Vehicles,-,ad pertains to video in which a man showcases a car's interior
AE9BTVpyuuQ,inappropriate,Display of weapons,moderate,ad pertains to a music video in arabic; contains display of weapons; shows man cutting his hand on a sword
drvkOz-2bDY,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic dynamic; some scenes contain display of intimacy as well
WhQfqd5WpE0,inappropriate,Intimacy,moderate,ad pertains to a Punjabi music video; some scene show intimacy
u9PcmUSr3TQ,irrelevant,Tech & Gadgets,-,"ad pertains to Samsung TVs, contains an announcement for mother's day as well"
3iVNxOrrtLw,inappropriate,Sexual content,extreme,ad pertains to music; the background contains a gif of two women engaging sexually
SswRvbJlmCQ,inappropriate,Intimacy,mild,ad pertains to a Spanish song; lyrics contain inherent romantic dynamic
zpjtz3wCWnQ,inappropriate,Display of weapons,extreme,ad pertains to a pubjabi song; display of guns and drinking
nNydFpDWY6k,child directed,Poems/Songs/Nursery Rhymes/Music,-,"ad pertains to a song starring kids, ttitled 'Big Dreams'"
n4VmTxvEedo,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a music video in Spanish; subtitles unavailable; cannot make out lyrics; shows a bar with people drinking beer
Fe0Yn8O5kNw,inappropriate,Intimacy,extreme,ad pertains to a hindi music video; contains inherent romantic dynamic; displays of intimacy present
524IYIf07EE,irrelevant,Music & Performance,-,ad pertains to a director's discussion of the making of an indian music video
nOxZiav_pv8,child directed,Educational Content,-,ad pertains to AdaptedMind's math game cartoon for kids
3S13NGzXhj4,irrelevant,Software,-,"ad pertains to container shipping routes by Twill, a software"
1dtzSRlfBDk,child directed,Educational Content,-,ad pertains to AdaptedMind's math game cartoon for kids
7JRAwn40q_0,inappropriate,"Drinking, drugs, smoking",moderate," ad pertains to a spanish music video; shows a person smoking, shows alcohol"
OmPQSY_IbJw,child directed,Cartoons,-,ad pertains to a storytelling cartoon
59JHu2voGZM,irrelevant,Music & Performance,-,"ad pertains to a song ""You are not alone"" "
gJY0MyGDru8,inappropriate,Offensive language,mild,ad pertains to a music video; contains offensive language
Qf6mnCY2pKk,irrelevant,Sports & Athletics,-,ad pertains to skateboarding and boxing with a sandbag; includes a drummer; unable to pinpoint what the ad is about
JKXAX40agNM,irrelevant,Software,-,ad pertains to an intro transition
MISqtaNt1vg,inappropriate,"Drinking, drugs, smoking",mild,ad pertains to a chinese music video;  shows people smoking in a bathtub; 
tDKWhvlUmA4,irrelevant,Nature & Environment,-,ad pertains to a drone video of some farmlands
4HtoyJ68Pro,child directed,Storytelling,-,ad pertains to a Korean storytelling video about Matilda; 
ndAW3VgSdb4,inaudible,Different Language,-,ad pertains to a spanish band performing; no subtitiles; unable to understand the lyrics
tiOk6kAjlJs,inappropriate,Intimacy,mild,ad pertains to a flash mob at the beach ; some dance moves shows intimacy
M5tAkwK_FgY,inappropriate,Intimacy,mild,ad pertains to a music videos; contains inherent romantic dynamic; some scenes contains intimacy
2fp25a5eoVM,irrelevant,Tech & Gadgets,-,ad pertains to Huawei's Honor x8A Smartphone
3hJawHSCqfg,irrelevant,Music & Performance,-,ad pertains to a music video about formula 1
FbH_LCxiIVM,irrelevant,Machinery,-,ad pertains to industrial machinery by Quick CNC
CnZjeTc1ps0,irrelevant,Software,-,ad pertains to a website for a car rental company called Ok mobility
c0JoY05GDww,irrelevant,Music & Performance,-,ad pertains to a Punjabi music video
639ATgYAP0g,irrelevant,Fashion,-,ad pertains to a jewellery brand
eB969B8OQFc,inappropriate,Intimacy,moderate,ad pertains to a spanish music video; inherent romantic dynamic; contains displays of intimacy
4gPJcamEUpE,inappropriate,Sexual content,extreme,ad pertains to music; the background contains a gif of two women engaging sexually
wiCoUwtw7l4,inappropriate,Sexual content,extreme,ad pertains to a music video; in a different language without subtitles; contains a kissing scene and fportrays filming it without consent
3vkgNy8mgwE,inappropriate,"Drinking, drugs, smoking",extreme,ad pertains to a Spanish music video; shows people drinking almost throughout the video
P-hCNCUT_gU,irrelevant,Fashion,-,ad pertains to pants by Adar
oJOKRI3ThwA,inappropriate,Inappropriate Clothing,extreme,ad pertains to a bhojpuri song; inappropriate clothing with sexual suggestiveness in the dances
TjxskTJd9eM,irrelevant,Software,-,ad pertains to a software aid for robotics engineers
97C4VnI0oXc,irrelevant,Sports & Athletics,-,ad pertains to skateboarding and boxing with a sandbag; includes a drummer; unable to pinpoint what the ad is about
LU1wQ9xP2dI,inappropriate,Intimacy,mild,ad pertains to a  spanish song; inherent romantic lyrics; 
vnoIflFPx_E,inaudible,Different Language,-,ad pertains to a music video; in a different language without subtitles; may be potentially inappropriate because of a seemingly romantic premise
34u1sOLrgVo,child directed,Educational Content,-,ad pertains to AdaptedMind's math game cartoon for kids
Ws3V7A6gepA,irrelevant,Tech & Gadgets,-,ad pertains to Huawei's Honor x8A Smartphone
PX6n0upPVoA,inappropriate,Physical Violence,extreme,"ad pertains to a music video; shows death, blood, people close to death; intentially drowning someone; killing someone; drinking, smoking"
XinhiEXV3UE,child directed,Storytelling,-,ad pertains to a kids vlog; kids playing with toys
66xsCTz7Luo,inappropriate,Intimacy,moderate, ad pertains to a music video; shows a person smoking; inherent romantic dynamic present; displays of intimacy present
